"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Tests - Weekly","Tests - Cumulative","Test Rate - Weekly","Test Rate - Cumulative","Percent Tested Positive - Weekly","Percent Tested Positive - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population","Row ID","ZIP Code Location"
"60641","14","03/31/2024","04/06/2024","7","23,135","10","32,574","0","0","0","0","0.0%","0.0%","1","208","1.4","292.9","71,023","60641-2024-14","POINT (-87.746791 41.946682)"
"60641","15","04/07/2024","04/13/2024","8","23,143","11","32,585.2","0","0","0","0","0.0%","0.0%","0","208","0.0","292.9","71,023","60641-2024-15","POINT (-87.746791 41.946682)"
"60641","16","04/14/2024","04/20/2024","5","23,148","7","32,592.3","0","0","0","0","0.0%","0.0%","0","208","0.0","292.9","71,023","60641-2024-16","POINT (-87.746791 41.946682)"
"60641","9","02/25/2024","03/02/2024","20","23,091","28","32,512","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-9","POINT (-87.746791 41.946682)"
"60641","12","03/17/2024","03/23/2024","5","23,120","7","32,552.8","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-12","POINT (-87.746791 41.946682)"
"60641","17","04/21/2024","04/27/2024","3","23,151","4","32,596.5","0","0","0","0","0.0%","0.0%","0","208","0.0","292.9","71,023","60641-2024-17","POINT (-87.746791 41.946682)"
"60641","46","11/13/2022","11/19/2022","75","20,377","106","28,690.7","1,589","342,449","2,237","482,166.3","5.0%","7.0%","1","199","1.4","280.2","71,023","60641-2022-46","POINT (-87.746791 41.946682)"
"60641","25","06/18/2023","06/24/2023","14","21,963","20","30,923.8","101","375,833","142","529,170.8","13.9%","6.8%","0","203","0.0","285.8","71,023","60641-2023-25","POINT (-87.746791 41.946682)"
"60641","31","07/30/2023","08/05/2023","15","22,035","21","31,025.2","97","376,357","137","529,908.6","12.4%","6.8%","0","204","0.0","287.2","71,023","60641-2023-31","POINT (-87.746791 41.946682)"
"60641","32","08/06/2023","08/12/2023","21","22,056","30","31,054.7","109","376,466","154","530,062.1","22.9%","6.8%","0","204","0.0","287.2","71,023","60641-2023-32","POINT (-87.746791 41.946682)"
"60641","33","08/13/2023","08/19/2023","26","22,082","37","31,091.3","114","376,580","161","530,222.6","21.1%","6.8%","0","204","0.0","287.2","71,023","60641-2023-33","POINT (-87.746791 41.946682)"
"60641","34","08/20/2023","08/26/2023","42","22,124","59","31,150.5","137","376,717","193","530,415.5","26.3%","6.9%","1","205","1.4","288.6","71,023","60641-2023-34","POINT (-87.746791 41.946682)"
"60641","10","03/03/2024","03/09/2024","12","23,103","17","32,528.9","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-10","POINT (-87.746791 41.946682)"
"60641","11","03/10/2024","03/16/2024","12","23,115","17","32,545.8","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-11","POINT (-87.746791 41.946682)"
"60641","34","08/21/2022","08/27/2022","106","19,575","149","27,561.5","1,182","320,635","1,664","451,452.3","9.5%","7.2%","0","194","0.0","273.2","71,023","60641-2022-34","POINT (-87.746791 41.946682)"
"60641","35","08/28/2022","09/03/2022","85","19,660","120","27,681.2","1,890","322,525","2,661","454,113.5","4.6%","7.2%","0","194","0.0","273.2","71,023","60641-2022-35","POINT (-87.746791 41.946682)"
"60641","36","09/04/2022","09/10/2022","81","19,741","114","27,795.2","1,883","324,408","2,651","456,764.7","4.4%","7.2%","0","194","0.0","273.2","71,023","60641-2022-36","POINT (-87.746791 41.946682)"
"60641","41","10/09/2022","10/15/2022","48","20,001","68","28,161.3","1,879","333,468","2,646","469,521.1","2.8%","7.1%","1","197","1.4","277.4","71,023","60641-2022-41","POINT (-87.746791 41.946682)"
"60641","42","10/16/2022","10/22/2022","62","20,063","87","28,248.6","1,964","335,432","2,765","472,286.4","3.0%","7.1%","0","197","0.0","277.4","71,023","60641-2022-42","POINT (-87.746791 41.946682)"
"60641","43","10/23/2022","10/29/2022","68","20,131","96","28,344.3","1,846","337,278","2,599","474,885.6","3.8%","7.0%","0","197","0.0","277.4","71,023","60641-2022-43","POINT (-87.746791 41.946682)"
"60641","44","10/30/2022","11/05/2022","84","20,215","118","28,462.6","1,869","339,147","2,632","477,517.1","4.7%","7.0%","1","198","1.4","278.8","71,023","60641-2022-44","POINT (-87.746791 41.946682)"
"60641","45","11/06/2022","11/12/2022","87","20,302","123","28,585.1","1,713","340,860","2,412","479,929","5.0%","7.0%","0","198","0.0","278.8","71,023","60641-2022-45","POINT (-87.746791 41.946682)"
"60641","47","11/20/2022","11/26/2022","79","20,456","111","28,801.9","559","343,008","787","482,953.4","13.2%","7.0%","0","199","0.0","280.2","71,023","60641-2022-47","POINT (-87.746791 41.946682)"
"60641","48","11/27/2022","12/03/2022","100","20,556","141","28,942.7","1,650","344,658","2,323","485,276.6","6.3%","7.0%","0","199","0.0","280.2","71,023","60641-2022-48","POINT (-87.746791 41.946682)"
"60641","49","12/04/2022","12/10/2022","135","20,691","190","29,132.8","1,672","346,330","2,354","487,630.8","8.4%","7.0%","0","199","0.0","280.2","71,023","60641-2022-49","POINT (-87.746791 41.946682)"
"60641","50","12/11/2022","12/17/2022","122","20,813","172","29,304.6","1,521","347,851","2,142","489,772.3","7.8%","7.0%","0","199","0.0","280.2","71,023","60641-2022-50","POINT (-87.746791 41.946682)"
"60641","51","12/18/2022","12/24/2022","90","20,903","127","29,431.3","1,267","349,118","1,784","491,556.3","7.7%","7.0%","2","201","2.8","283.0","71,023","60641-2022-51","POINT (-87.746791 41.946682)"
"60641","52","12/25/2022","12/31/2022","74","20,977","104","29,535.5","433","349,551","610","492,165.9","15.2%","7.0%","0","201","0.0","283.0","71,023","60641-2022-52","POINT (-87.746791 41.946682)"
"60641","16","04/16/2023","04/22/2023","22","21,820","31","30,722.4","1,067","370,054","1,502","521,034","2.1%","6.9%","0","202","0.0","284.4","71,023","60641-2023-16","POINT (-87.746791 41.946682)"
"60641","17","04/23/2023","04/29/2023","22","21,842","31","30,753.4","1,075","371,129","1,514","522,547.6","1.8%","6.9%","0","202","0.0","284.4","71,023","60641-2023-17","POINT (-87.746791 41.946682)"
"60641","18","04/30/2023","05/06/2023","26","21,868","37","30,790","1,075","372,204","1,514","524,061.2","2.4%","6.9%","0","202","0.0","284.4","71,023","60641-2023-18","POINT (-87.746791 41.946682)"
"60641","19","05/07/2023","05/13/2023","23","21,891","32","30,822.4","961","373,165","1,353","525,414.3","2.5%","6.9%","0","202","0.0","284.4","71,023","60641-2023-19","POINT (-87.746791 41.946682)"
"60641","2","01/08/2023","01/14/2023","81","21,125","114","29,743.9","1,468","351,569","2,067","495,007.3","5.9%","7.0%","0","202","0.0","284.4","71,023","60641-2023-2","POINT (-87.746791 41.946682)"
"60641","20","05/14/2023","05/20/2023","15","21,906","21","30,843.5","900","374,065","1,267","526,681.5","2.0%","6.8%","0","202","0.0","284.4","71,023","60641-2023-20","POINT (-87.746791 41.946682)"
"60641","21","05/21/2023","05/27/2023","7","21,913","10","30,853.4","856","374,921","1,205","527,886.7","1.3%","6.8%","0","202","0.0","284.4","71,023","60641-2023-21","POINT (-87.746791 41.946682)"
"60641","22","05/28/2023","06/03/2023","11","21,924","16","30,868.9","493","375,414","694","528,580.9","2.8%","6.8%","0","202","0.0","284.4","71,023","60641-2023-22","POINT (-87.746791 41.946682)"
"60641","23","06/04/2023","06/10/2023","13","21,937","18","30,887.2","196","375,610","276","528,856.8","7.1%","6.8%","1","203","1.4","285.8","71,023","60641-2023-23","POINT (-87.746791 41.946682)"
"60641","24","06/11/2023","06/17/2023","12","21,949","17","30,904.1","122","375,732","172","529,028.6","11.5%","6.8%","0","203","0.0","285.8","71,023","60641-2023-24","POINT (-87.746791 41.946682)"
"60641","35","08/27/2023","09/02/2023","30","22,154","42","31,192.7","152","376,869","214","530,629.5","20.4%","6.9%","0","205","0.0","288.6","71,023","60641-2023-35","POINT (-87.746791 41.946682)"
